date,p1CharCode,p2CharCode,winner
08-25 17:18:45,7,10,2
08-25 17:18:44,14,2,2
08-25 17:18:42,4,10,2
08-25 17:18:41,10,0,1
08-25 17:18:40,5,6,1
08-25 17:18:39,1,12,2
08-25 17:18:37,7,12,1
08-25 17:18:37,15,13,1
08-25 17:18:36,4,15,1
08-25 17:18:35,5,12,1
08-25 17:18:34,9,1,1
08-25 17:18:33,12,14,2
08-25 17:18:32,7,12,1
08-25 17:18:28,13,10,1
08-25 17:18:26,14,12,2
08-25 17:18:24,11,7,2
08-25 17:18:20,4,11,2
08-25 17:18:19,4,0,2
08-25 17:18:14,15,3,1
08-25 17:18:14,3,14,1
08-25 17:18:13,11,11,2
08-25 17:18:11,5,12,2
08-25 17:18:10,10,11,2
08-25 17:18:09,10,11,1
08-25 17:18:08,11,9,2
08-25 17:18:07,9,13,1
08-25 17:18:06,8,9,2
08-25 17:18:02,12,5,2
08-25 17:18:00,1,14,1
08-25 17:17:59,3,9,1
08-25 17:17:57,12,5,2
08-25 17:17:56,7,2,2
08-25 17:17:53,7,11,1
08-25 17:17:53,0,7,1
08-25 17:17:52,11,0,1
08-25 17:17:50,1,5,2
08-25 17:17:47,9,3,1
08-25 17:17:47,11,1,2
08-25 17:17:46,5,15,1
08-25 17:17:45,1,0,1
08-25 17:17:45,9,0,2
08-25 17:17:42,12,14,2
08-25 17:17:41,15,2,1
08-25 17:17:40,0,5,2
08-25 17:17:39,15,2,1
08-25 17:17:37,1,5,1
08-25 17:17:36,5,5,2
08-25 17:17:33,0,11,2
08-25 17:17:30,3,2,2
08-25 17:17:29,5,11,2
08-25 17:17:28,11,0,1
08-25 17:17:27,2,9,2
08-25 17:17:25,10,0,2
08-25 17:17:25,1,10,2
08-25 17:17:24,1,7,1
08-25 17:17:22,1,4,2
08-25 17:17:22,4,1,1
08-25 17:17:21,2,7,1
08-25 17:17:21,0,9,1
08-25 17:17:20,9,10,1
08-25 17:17:20,10,13,1
08-25 17:17:18,9,12,2
08-25 17:17:18,14,1,1
08-25 17:17:18,15,3,1
08-25 17:17:16,4,0,1
08-25 17:17:15,12,9,1
08-25 17:17:13,15,0,2
08-25 17:17:13,6,1,2
08-25 17:17:13,10,11,1
08-25 17:17:11,13,6,1
08-25 17:17:06,9,1,1
08-25 17:17:06,9,3,1
08-25 17:17:06,9,0,2
08-25 17:17:05,13,11,2
08-25 17:17:04,14,5,2
08-25 17:17:04,3,10,1
08-25 17:17:04,4,15,1
08-25 17:17:01,8,9,1
08-25 17:16:58,5,12,1
08-25 17:16:54,7,12,2
08-25 17:16:52,10,8,2
08-25 17:16:50,5,15,2
08-25 17:16:50,11,5,1
08-25 17:16:49,3,4,1
08-25 17:16:47,4,1,2
08-25 17:16:46,13,10,2
08-25 17:16:45,11,5,1
08-25 17:16:44,7,11,2
08-25 17:16:43,6,3,2
08-25 17:16:42,10,13,1
08-25 17:16:42,13,11,2
